Equipo;Dorsal;Nombre completo;Apodo;país;altura;peso;posición
F.C. Barcelona;13;Joan García;Joan;N/D;1.93m;83kg;Portero
F.C. Barcelona;25;Wojciech Szczesny;Wojciech;N/D;1.96m;96kg;Portero
F.C. Barcelona;31;Diego Kochen;Diego;N/D;1.88m;83kg;Portero
F.C. Barcelona;33;Eder Aller;Eder;N/D;1.93m;73kg;Portero
F.C. Barcelona;02;João Cancelo;João;N/D;1.83m;73kg;Defensa
F.C. Barcelona;03;Alejandro Balde;Alejandro;N/D;1.78m;76kg;Defensa
F.C. Barcelona;04;Ronald Araújo;Ronald;N/D;1.91m;96kg;Defensa
F.C. Barcelona;05;Pau Cubarsí;Pau;N/D;1.83m;78kg;Defensa
F.C. Barcelona;15;Andreas Christensen;Andreas;N/D;1.88m;83kg;Defensa
F.C. Barcelona;18;Gerard Martín;Gerard;N/D;1.85m;82kg;Defensa
F.C. Barcelona;23;Jules Koundé;Jules;N/D;1.8m;83kg;Defensa
F.C. Barcelona;24;Eric García;Eric;N/D;1.8m;77kg;Defensa
F.C. Barcelona;26;Jofre Torrents;Jofre;N/D;1.85m;73kg;Defensa
F.C. Barcelona;42;Xavi Espart;Xavi;N/D;1.75m;55kg;Defensa
F.C. Barcelona;06;Gavi;Gavi;N/D;1.75m;68kg;Centrocampista
F.C. Barcelona;08;Pedri;Pedri;N/D;1.75m;68kg;Centrocampista
F.C. Barcelona;16;Fermín López;Fermín;N/D;1.75m;73kg;Centrocampista
F.C. Barcelona;17;Marc Casadó;Marc;N/D;1.7m;63kg;Centrocampista
F.C. Barcelona;20;Dani Olmo;Dani;N/D;1.83m;73kg;Centrocampista
F.C. Barcelona;21;Frenkie de Jong;Frenkie;N/D;1.83m;73kg;Centrocampista
F.C. Barcelona;22;Marc Bernal;Marc;N/D;1.93m;87kg;Centrocampista
F.C. Barcelona;30;Guille Fernández;Guille;N/D;1.78m;76kg;Centrocampista
F.C. Barcelona;41;Juan Hernández;Juan;N/D;1.78m;--;Centrocampista
F.C. Barcelona;43;Tomás Marqués;Tomás;N/D;1.85m;--;Centrocampista
F.C. Barcelona;07;Ferran Torres;Ferran;N/D;1.83m;78kg;Delantero
F.C. Barcelona;09;Robert Lewandowski;Robert;N/D;1.85m;81kg;Delantero
F.C. Barcelona;10;Lamine Yamal;Lamine;N/D;1.78m;72kg;Delantero
F.C. Barcelona;11;Raphinha;Raphinha;N/D;1.75m;72kg;Delantero
F.C. Barcelona;14;Marcus Rashford;Marcus;N/D;1.88m;78kg;Delantero
F.C. Barcelona;19;Roony Bardghji;Roony;N/D;1.73m;73kg;Delantero
F.C. Barcelona;29;Toni Fernández;Toni;N/D;1.75m;73kg;Delantero
F.C. Barcelona;37;Daniel Rodríguez;Daniel;N/D;1.75m;--;Delantero
Real Madrid;01;Thibaut Courtois;Thibaut;N/D;2.01m;96kg;Portero
Real Madrid;13;Andriy Lunin;Andriy;N/D;1.91m;78kg;Portero
Real Madrid;26;Fran González;Fran;N/D;2.01m;72kg;Portero
Real Madrid;29;Javier Navarro;Javier;N/D;1.8m;74kg;Portero
Real Madrid;43;Sergio Mestre;Sergio;N/D;1.93m;78kg;Portero
Real Madrid;02;Dani Carvajal;Dani;N/D;1.73m;73kg;Defensa
Real Madrid;03;Éder Militão;Éder;N/D;1.85m;78kg;Defensa
Real Madrid;04;David Alaba;David;N/D;1.8m;78kg;Defensa
Real Madrid;12;Trent Alexander-Arnold;Trent;N/D;1.75m;67kg;Defensa
Real Madrid;17;Raúl Asencio;Raúl;N/D;1.83m;78kg;Defensa
Real Madrid;18;Álvaro Carreras;Álvaro;N/D;1.85m;78kg;Defensa
Real Madrid;20;Fran García;Fran;N/D;1.7m;63kg;Defensa
Real Madrid;22;Antonio Rüdiger;Antonio;N/D;1.91m;83kg;Defensa
Real Madrid;23;Ferland Mendy;Ferland;N/D;1.8m;73kg;Defensa
Real Madrid;24;Dean Huijsen;Dean;N/D;1.96m;87kg;Defensa
Real Madrid;27;Diego Aguado;Diego;N/D;1.8m;68kg;Defensa
Real Madrid;32;Jesús Fortea;Jesús;N/D;1.75m;62kg;Defensa
Real Madrid;35;David Jiménez;David;N/D;1.7m;63kg;Defensa
Real Madrid;36;Joan Martínez;Joan;N/D;1.93m;73kg;Defensa
Real Madrid;40;Víctor Valdepeñas;Víctor;N/D;1.88m;73kg;Defensa
Real Madrid;05;Jude Bellingham;Jude;N/D;1.85m;73kg;Centrocampista
Real Madrid;06;Eduardo Camavinga;Eduardo;N/D;1.83m;68kg;Centrocampista
Real Madrid;08;Federico Valverde;Federico;N/D;1.83m;78kg;Centrocampista
Real Madrid;14;Aurélien Tchouaméni;Aurélien;N/D;1.88m;81kg;Centrocampista
Real Madrid;15;Arda Güler;Arda;N/D;1.75m;67kg;Centrocampista
Real Madrid;19;Dani Ceballos;Dani;N/D;1.78m;68kg;Centrocampista
Real Madrid;21;Brahim Díaz;Brahim;N/D;1.7m;58kg;Centrocampista
Real Madrid;28;Jorge Cestero;Jorge;N/D;1.8m;76kg;Centrocampista
Real Madrid;33;Pol Fortuny;Pol;N/D;1.75m;68kg;Centrocampista
Real Madrid;37;Manuel Ángel;Manuel;N/D;1.7m;58kg;Centrocampista
Real Madrid;38;César Palacios;César;N/D;1.83m;68kg;Centrocampista
Real Madrid;45;Thiago Pitarch;Thiago;N/D;1.75m;66kg;Centrocampista
